PERMNO,Month,RET
10000,1986-01,0.031959
10000,1986-02,-0.015053157894736841
10000,1986-03,0.0165805
10000,1986-04,-0.004646272727272727
10000,1986-05,-0.011215809523809525
10000,1986-06,-4.219047619047634e-05
10000,1986-07,-0.0027765909090909095
10000,1986-08,-0.0392887619047619
10000,1986-09,-0.0015878571428571435
10000,1986-10,-0.011015782608695653
10000,1986-11,0.0036663684210526317
10000,1986-12,-0.020158727272727273
10000,1987-01,-0.010854571428571429
10000,1987-02,0.000289157894736842
10000,1987-03,-0.02003909090909091
10000,1987-04,-0.0022261904761904767
10000,1987-05,-0.00333335
10000,1987-06,0.0
10001,1986-01,0.004049
10001,1986-02,0.0010999473684210528
10001,1986-03,0.00127475
10001,1986-04,0.00045004545454545454
10001,1986-05,-0.0004668571428571429
10001,1986-06,-0.0006158571428571429
10001,1986-07,-0.0003930454545454546
10001,1986-08,0.0033444761904761902
10001,1986-09,0.0002685238095238096
10001,1986-10,0.002357304347826087
10001,1986-11,0.0035684736842105263
10001,1986-12,0.001451636363636364
10001,1987-01,-0.0009877142857142851
10001,1987-02,-0.0032801578947368425
10001,1987-03,0.0024454545454545462
10001,1987-04,-0.0004986190476190477
10001,1987-05,-0.002655
10001,1987-06,0.003244000000000001
10001,1987-07,0.0013644545454545452
10001,1987-08,0.004971380952380953
10001,1987-09,-9.728571428571444e-05
10001,1987-10,0.001501363636363636
10001,1987-11,-0.0008166000000000001
10001,1987-12,-0.0011715454545454544
10001,1988-01,0.0034794500000000007
10001,1988-02,0.004402649999999999
10001,1988-03,-0.002685652173913044
10001,1988-04,0.00269275
10001,1988-05,0.001414952380952381
10001,1988-06,-6.327272727272747e-05
10001,1988-07,0.0020447
10001,1988-08,0.0014436521739130434
10001,1988-09,-0.0006001904761904766
10001,1988-10,0.002843857142857143
10001,1988-11,0.0009282857142857146
10001,1988-12,-0.0002955238095238093
10001,1989-01,0.0014275714285714282
10001,1989-02,0.002164842105263158
10001,1989-03,0.0012687272727272727
10001,1989-04,0.0040177500000000005
10001,1989-05,-0.0013283636363636364
10001,1989-06,0.001115954545454546
10001,1989-07,0.002277150000000001
10001,1989-08,0.01100304347826087
10001,1989-09,-0.0010018499999999997
10001,1989-10,0.0036188636363636358
10001,1989-11,0.002122523809523809
10001,1989-12,0.0019925000000000003
10001,1990-01,-0.000793681818181818
10001,1990-02,-0.0002323157894736843
10001,1990-03,0.0008628636363636365
10001,1990-04,9.614999999999988e-05
10001,1990-05,-0.0004298181818181819
10001,1990-06,0.0009756190476190481
10001,1990-07,0.0014420000000000004
10001,1990-08,-0.001780782608695652
10001,1990-09,0.0022845263157894734
10001,1990-10,-0.0004911304347826089
10001,1990-11,0.00020442857142857133
10001,1990-12,0.0004421999999999995
10001,1991-01,0.0008124090909090911
10001,1991-02,0.0008768947368421048
10001,1991-03,-0.0004905000000000003
10001,1991-04,0.001947954545454545
10001,1991-05,0.00011636363636363628
10001,1991-06,0.00387915
10001,1991-07,-0.001333954545454546
10001,1991-08,0.006089863636363637
10001,1991-09,0.0010316500000000003
10001,1991-10,0.005655869565217392
10001,1991-11,0.00669155
10001,1991-12,3.1047619047619036e-05
10001,1992-01,-0.0019851818181818182
10001,1992-02,-0.011304473684210526
10001,1992-03,0.0041841818181818195
10001,1992-04,0.0006424761904761905
10001,1992-05,0.0010174000000000001
10001,1992-06,-0.0001318181818181818
10001,1992-07,0.0029954090909090907
10001,1992-08,0.0022095238095238092
10001,1992-09,0.007598238095238095
10001,1992-10,-0.0008441818181818187
10001,1992-11,-0.0004927500000000005
10001,1992-12,-0.0005274999999999995
10001,1993-01,0.00018980000000000003
10001,1993-02,0.0010906315789473685
10001,1993-03,0.0007244782608695651
10001,1993-04,0.003412380952380952
10001,1993-05,-9.975000000000036e-05
10001,1993-06,0.004763772727272728
10001,1993-07,-0.00013404761904761928
10001,1993-08,-0.0011302727272727274
10001,1993-09,0.003451809523809525
10001,1993-10,0.001831142857142857
10001,1993-11,-0.00018780952380952396
10001,1993-12,0.004410227272727273
10001,1994-01,-0.002072428571428572
10001,1994-02,8.284210526315803e-05
10001,1994-03,-0.0001274782608695651
10001,1994-04,-0.007885157894736842
10001,1994-05,0.0034439047619047617
10001,1994-06,0.0050044545454545454
10001,1994-07,0.004246799999999999
10001,1994-08,-0.0008168695652173908
10001,1994-09,0.0019752857142857146
10001,1994-10,-0.0021506190476190466
10001,1994-11,-0.0011515714285714285
10001,1994-12,-0.0012320000000000002
10001,1995-01,-0.0006690952380952378
10001,1995-02,-0.0005781052631578942
10001,1995-03,0.0006628695652173917
10001,1995-04,0.0004627894736842114
10001,1995-05,0.003791227272727273
10001,1995-06,0.0032511818181818193
10001,1995-07,0.0005245000000000001
10001,1995-08,-0.0007660434782608691
10001,1995-09,0.0026123500000000003
10001,1995-10,-0.0009024999999999999
10001,1995-11,0.004612714285714286
10001,1995-12,0.004541849999999999
10001,1996-01,-0.0003896363636363639
10001,1996-02,0.0018255
10001,1996-03,0.0020937619047619043
10001,1996-04,-0.003049809523809523
10001,1996-05,-0.0007802272727272727
10001,1996-06,-0.0027269
10001,1996-07,0.001371636363636364
10001,1996-08,0.002173909090909091
10001,1996-09,0.0024912999999999997
10001,1996-10,-0.0005646521739130433
10001,1996-11,0.00188865
10001,1996-12,-0.00205147619047619
10001,1997-01,0.0034169545454545455
10001,1997-02,0.0004941578947368425
10001,1997-03,0.0013638500000000004
10001,1997-04,0.0006395909090909091
10001,1997-05,0.0004911904761904758
10001,1997-06,-0.0011922380952380954
10001,1997-07,0.0025885909090909093
10001,1997-08,0.0009140000000000001
10001,1997-09,0.0015247142857142853
10001,1997-10,4.452173913043474e-05
10001,1997-11,-0.0007050526315789474
10001,1997-12,0.001932818181818182
10001,1998-01,0.00011374999999999996
10001,1998-02,-0.0003274210526315791
10001,1998-03,-0.0003680000000000001
10001,1998-04,0.0004868095238095238
10001,1998-05,-0.0005070499999999999
10001,1998-06,0.0004151363636363639
10001,1998-07,0.0008669545454545458
10001,1998-08,0.00021895238095238117
10001,1998-09,0.003358476190476191
10001,1998-10,0.00011640000000000019
